id_Acidente;;causa_acidente;;tipo_acidente;;classificacao_acidente;;data;;dia_semana;;horario;;
1;,';Velocidade Incompatível;',';Colisão lateral;',';Sem Vítimas;',TO_DATE(';01/01/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';19:30:00;"');";
2;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',TO_DATE(';02/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';04:10:00;"');";
3;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',TO_DATE(';02/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';07:10:00;"');"; 
4;,';Falta de Atenção do Pedestre;',';Atropelamento de Pedestre;',';Com Vítimas Feridas;',TO_DATE(';02/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';08:25:00;"');";
5;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',TO_DATE(';02/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';08:25:00;"');";
6;,';Falta de Atenção à Condução;',';Tombamento;',';Sem Vítimas;',TO_DATE(';02/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';08:40:00;"');";
7;,';Defeito Mecânico no Veículo;',';Colisão traseira;',';Sem Vítimas;',TO_DATE(';02/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';08:50:00;"');";
8;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',TO_DATE(';02/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';11:40:00;"');";
9;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',TO_DATE(';02/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';11:20:00;"');";
10;,';Não guardar distância de segurança;',';Engavetamento;',';Com Vítimas Feridas;',TO_DATE(';02/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';13:35:00;"');";
11;,';Pista Escorregadia;',';Saída de leito carroçável;',';Com Vítimas Feridas;',TO_DATE(';02/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';15:50:00;"');";
12;,';Falta de Atenção à Condução;',';Colisão frontal;',';Sem Vítimas;',TO_DATE(';02/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';10:15:00;"');";
13;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',TO_DATE(';02/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';15:40:00;"');";
14;,';Não guardar distância de segurança;',';Saída de leito carroçável;',';Sem Vítimas;',TO_DATE(';02/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';16:45:00;"');";
15;,';Ingestão de Álcool;',';Colisão traseira;',';Sem Vítimas;',TO_DATE(';02/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';16:00:00;"');";
16;,';Falta de Atenção à Condução;',';Colisão transversal;',';Sem Vítimas;',TO_DATE(';02/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';16:15:00;"');";
17;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',TO_DATE(';02/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';15:55:00;"');";
18;,';Velocidade Incompatível;',';Colisão traseira;',';Sem Vítimas;',TO_DATE(';02/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';12:30:00;"');";
19;,';Pista Escorregadia;',';Saída de leito carroçável;',';Sem Vítimas;',TO_DATE(';02/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';14:10:00;"');";
20;,';Falta de Atenção à Condução;',';Engavetamento;',';Com Vítimas Feridas;',TO_DATE(';02/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';20:50:00;"');";
