id_Acidente;;causa_acidente;;tipo_acidente;;classificacao_acidente;;data;;horario;;dia_semana;
1;,';Velocidade Incompatível;',';Colisão lateral;',';Sem Vítimas;',';01/01/2018;***;19:30:00;',';segunda-feira;"');"
2;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',';02/01/2018;***;04:10:00;',';terça-feira;"');"
3;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',';02/01/2018;***;07:10:00;',';terça-feira;"');"
4;,';Falta de Atenção do Pedestre;',';Atropelamento de Pedestre;',';Com Vítimas Feridas;',';02/01/2018;***;08:25:00;',';terça-feira;"');"
5;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',';02/01/2018;***;08:25:00;',';terça-feira;"');"
6;,';Falta de Atenção à Condução;',';Tombamento;',';Sem Vítimas;',';02/01/2018;***;08:40:00;',';terça-feira;"');"
7;,';Defeito Mecânico no Veículo;',';Colisão traseira;',';Sem Vítimas;',';02/01/2018;***;08:50:00;',';terça-feira;"');"
8;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',';02/01/2018;***;11:40:00;',';terça-feira;"');"
9;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',';02/01/2018;***;11:20:00;',';terça-feira;"');"
10;,';Não guardar distância de segurança;',';Engavetamento;',';Com Vítimas Feridas;',';02/01/2018;***;13:35:00;',';terça-feira;"');"
11;,';Pista Escorregadia;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';02/01/2018;***;15:50:00;',';terça-feira;"');"
12;,';Falta de Atenção à Condução;',';Colisão frontal;',';Sem Vítimas;',';02/01/2018;***;10:15:00;',';terça-feira;"');"
13;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';02/01/2018;***;15:40:00;',';terça-feira;"');"
14;,';Não guardar distância de segurança;',';Saída de leito carroçável;',';Sem Vítimas;',';02/01/2018;***;16:45:00;',';terça-feira;"');"
15;,';Ingestão de Álcool;',';Colisão traseira;',';Sem Vítimas;',';02/01/2018;***;16:00:00;',';terça-feira;"');"
16;,';Falta de Atenção à Condução;',';Colisão transversal;',';Sem Vítimas;',';02/01/2018;***;16:15:00;',';terça-feira;"');"
17;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';02/01/2018;***;15:55:00;',';terça-feira;"');"
18;,';Velocidade Incompatível;',';Colisão traseira;',';Sem Vítimas;',';02/01/2018;***;12:30:00;',';terça-feira;"');"
19;,';Pista Escorregadia;',';Saída de leito carroçável;',';Sem Vítimas;',';02/01/2018;***;14:10:00;',';terça-feira;"');"
20;,';Falta de Atenção à Condução;',';Engavetamento;',';Com Vítimas Feridas;',';02/01/2018;***;20:50:00;',';terça-feira;"');"
21;,';Velocidade Incompatível;',';Colisão frontal;',';Com Vítimas Fatais;',';02/01/2018;***;20:05:00;',';terça-feira;"');"
22;,';Condutor Dormindo;',';Colisão lateral;',';Sem Vítimas;',';03/01/2018;***;03:15:00;',';quarta-feira;"');"
23;,';Condutor Dormindo;',';Tombamento;',';Sem Vítimas;',';03/01/2018;***;03:00:00;',';quarta-feira;"');"
24;,';Restrição de Visibilidade;',';Engavetamento;',';Sem Vítimas;',';03/01/2018;***;07:30:00;',';quarta-feira;"');"
25;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';03/01/2018;***;08:40:00;',';quarta-feira;"');"
26;,';Defeito na Via;',';Tombamento;',';Com Vítimas Feridas;',';03/01/2018;***;10:30:00;',';quarta-feira;"');"
27;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',';03/01/2018;***;12:45:00;',';quarta-feira;"');"
28;,';Restrição de Visibilidade;',';Colisão transversal;',';Com Vítimas Feridas;',';03/01/2018;***;12:30:00;',';quarta-feira;"');"
29;,';Objeto estático sobre o leito carroçável;',';Colisão traseira;',';Sem Vítimas;',';03/01/2018;***;16:10:00;',';quarta-feira;"');"
30;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',';03/01/2018;***;17:20:00;',';quarta-feira;"');"
31;,';Condutor Dormindo;',';Colisão lateral;',';Com Vítimas Feridas;',';03/01/2018;***;15:30:00;',';quarta-feira;"');"
32;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';03/01/2018;***;18:50:00;',';quarta-feira;"');"
33;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',';03/01/2018;***;19:00:00;',';quarta-feira;"');"
34;,';Ultrapassagem Indevida;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';03/01/2018;***;21:55:00;',';quarta-feira;"');"
35;,';Ingestão de Álcool;',';Colisão traseira;',';Com Vítimas Feridas;',';03/01/2018;***;21:20:00;',';quarta-feira;"');"
36;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',';04/01/2018;***;06:50:00;',';quinta-feira;"');"
37;,';Condutor Dormindo;',';Capotamento;',';Sem Vítimas;',';04/01/2018;***;04:29:00;',';quinta-feira;"');"
38;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',';04/01/2018;***;10:00:00;',';quinta-feira;"');"
39;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',';04/01/2018;***;10:30:00;',';quinta-feira;"');"
40;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',';04/01/2018;***;11:05:00;',';quinta-feira;"');"
41;,';Não guardar distância de segurança;',';Colisão traseira;',';Sem Vítimas;',';04/01/2018;***;09:00:00;',';quinta-feira;"');"
42;,';Não guardar distância de segurança;',';Engavetamento;',';Sem Vítimas;',';04/01/2018;***;10:50:00;',';quinta-feira;"');"
43;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',';04/01/2018;***;09:40:00;',';quinta-feira;"');"
44;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';04/01/2018;***;12:30:00;',';quinta-feira;"');"
45;,';Defeito Mecânico no Veículo;',';Incêndio;',';Sem Vítimas;',';04/01/2018;***;14:00:00;',';quinta-feira;"');"
46;,';Velocidade Incompatível;',';Colisão com objeto estático;',';Sem Vítimas;',';04/01/2018;***;15:30:00;',';quinta-feira;"');"
47;,';Falta de Atenção à Condução;',';Colisão transversal;',';Sem Vítimas;',';04/01/2018;***;17:45:00;',';quinta-feira;"');"
48;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';04/01/2018;***;16:30:00;',';quinta-feira;"');"
49;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',';04/01/2018;***;19:10:00;',';quinta-feira;"');"
50;,';Condutor Dormindo;',';Saída de leito carroçável;',';Sem Vítimas;',';05/01/2018;***;00:30:00;',';sexta-feira;"');"
51;,';Condutor Dormindo;',';Colisão traseira;',';Sem Vítimas;',';05/01/2018;***;01:40:00;',';sexta-feira;"');"
52;,';Ingestão de Álcool;',';Colisão frontal;',';Com Vítimas Fatais;',';05/01/2018;***;02:25:00;',';sexta-feira;"');"
53;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',';05/01/2018;***;04:00:00;',';sexta-feira;"');"
54;,';Velocidade Incompatível;',';Colisão frontal;',';Com Vítimas Feridas;',';05/01/2018;***;05:50:00;',';sexta-feira;"');"
55;,';Desobediência às normas de trânsito pelo condutor;',';Tombamento;',';Com Vítimas Feridas;',';05/01/2018;***;12:10:00;',';sexta-feira;"');"
