id_Condicoes;;id_Acidente;;condicao_metereologica;;sentido_via;;tipo_pista;;tracado_via;;fase_dia;;;;;
1;,;1;,';Chuva;',';Crescente;',';Simples;',';Curva;',';Anoitecer;"');";;;;
2;,;2;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
3;,;3;,';Céu Claro;',';Crescente;',';Dupla;',';Não Informado;',';Pleno dia;"');";;;;
4;,;4;,';Sol;',';Crescente;',';Dupla;',';Curva;',';Pleno dia;"');";;;; 
5;,;5;,';Nublado;',';Crescente;',';Dupla;',';Não Informado;',';Pleno dia;"');";;;;
6;,;6;,';Chuva;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
7;,;7;,';Céu Claro;',';Crescente;',';Múltipla;',';Reta;',';Pleno dia;"');";;;;
8;,;8;,';Céu Claro;',';Crescente;',';Múltipla;',';Reta;',';Pleno dia;"');";;;;
9;,;9;,';Céu Claro;',';Decrescente;',';Simples;',';Desvio Temporário;',';Pleno dia;"');";;;;
10;,;10;,';Nublado;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
11;,;11;,';Chuva;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
12;,;12;,';Nublado;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
13;,;13;,';Nublado;',';Decrescente;',';Múltipla;',';Interseção de vias;',';Pleno dia;"');";;;;
14;,;14;,';Chuva;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
15;,;15;,';Garoa/Chuvisco;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
16;,;16;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
17;,;17;,';Chuva;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
18;,;18;,';Garoa/Chuvisco;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
19;,;19;,';Chuva;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
20;,;20;,';Nublado;',';Decrescente;',';Dupla;',';Curva;',';Plena Noite;"');";;;;
21;,;21;,';Chuva;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
22;,;22;,';Nevoeiro/Neblina;',';Decrescente;',';Simples;',';Curva;',';Plena Noite;"');";;;;
23;,;23;,';Chuva;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
24;,;24;,';Nevoeiro/Neblina;',';Decrescente;',';Simples;',';Desvio Temporário;',';Amanhecer;"');";;;;
25;,;25;,';Céu Claro;',';Decrescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
26;,;26;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
27;,;27;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
28;,;28;,';Céu Claro;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
29;,;29;,';Chuva;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
30;,;30;,';Céu Claro;',';Decrescente;',';Simples;',';Desvio Temporário;',';Pleno dia;"');";;;;
31;,;31;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
32;,;32;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
33;,;33;,';Sol;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
34;,;34;,';Nublado;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
35;,;35;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Plena Noite;"');";;;;
36;,;36;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
