id_Local;;id_Acidente;;municipio;;uf;;br;;km;
1;,;1;,';VARGEM BONITA;',';SC;',;282;,;424;");"
2;,;2;,';BIGUACU;',';SC;',;101;,;176;");"
3;,;3;,';CURITIBA;',';PR;',;376;,;599,9;");"
4;,;4;,';JOINVILLE;',';SC;',;101;,;35,6;");"
5;,;5;,';JOINVILLE;',';SC;',;101;,;35,5;");"
6;,;6;,';MORMACO;',';RS;',;386;,;224,5;");"
7;,;7;,';GUARATUBA;',';PR;',;376;,;667;");"
8;,;8;,';PALHOCA;',';SC;',;101;,;212;");"
9;,;9;,';NOVA PETROPOLIS;',';RS;',;116;,;183,1;");"
10;,;10;,';BALNEARIO PICARRAS;',';SC;',;101;,;96,4;");"
11;,;11;,';SAO LEOPOLDO;',';RS;',;116;,;248;");"
12;,;12;,';SAO JOSE DO CERRITO;',';SC;',;282;,;278,2;");"
13;,;13;,';CURITIBA;',';PR;',;476;,;135,3;");"
14;,;14;,';CAPAO DO LEAO;',';RS;',;116;,;528,5;");"
15;,;15;,';SANTA TEREZA DO OESTE;',';PR;',;277;,;603,6;");"
16;,;16;,';CANOINHAS;',';SC;',;280;,;231,5;");"
17;,;17;,';DESCANSO;',';SC;',;282;,;638,9;");"
18;,;18;,';FORQUETINHA;',';RS;',;386;,;335;");"
19;,;19;,';JOACABA;',';SC;',;282;,;404;");"
20;,;20;,';TIJUCAS DO SUL;',';PR;',;376;,;657,1;");"
21;,;21;,';VARGEM;',';SC;',;282;,;304,8;");"
22;,;22;,';TRES ARROIOS;',';RS;',;153;,;31,8;");"
23;,;23;,';JACAREZINHO;',';PR;',;153;,;10,9;");"
24;,;24;,';TOLEDO;',';PR;',;163;,;270;");"
25;,;25;,';CANOINHAS;',';SC;',;280;,;249,7;");"
26;,;26;,';URUGUAIANA;',';RS;',;290;,;638,6;");"
27;,;27;,';TROMBUDO CENTRAL;',';SC;',;470;,;159,6;");"
28;,;28;,';PONTA GROSSA;',';PR;',;373;,;180;");"
29;,;29;,';JOINVILLE;',';SC;',;101;,;17,5;");"
30;,;30;,';LAGES;',';SC;',;282;,;220;");"
31;,;31;,';TIBAGI;',';PR;',;376;,;420;");"
32;,;32;,';GASPAR;',';SC;',;470;,;35;");"
33;,;33;,';URUGUAIANA;',';RS;',;472;,;561;");"
34;,;34;,';LAGES;',';SC;',;282;,;197,7;");"
35;,;35;,';FAXINAL DOS GUEDES;',';SC;',;282;,;491,3;");"
36;,;36;,';CURITIBA;',';PR;',;116;,;117;");"
37;,;37;,';MALLET;',';PR;',;153;,;385,3;");"
38;,;38;,';NAVEGANTES;',';SC;',;470;,;13;");"
39;,;39;,';MARINGA;',';PR;',;376;,;174,7;");"
40;,;40;,';JOINVILLE;',';SC;',;101;,;55;");"
41;,;41;,';CANOINHAS;',';SC;',;280;,;234,5;");"
42;,;42;,';CURITIBA;',';PR;',;376;,;588;");"
43;,;43;,';RIO GRANDE;',';RS;',;392;,;16,1;");"
44;,;44;,';PARANAGUA;',';PR;',;277;,;5;");"
45;,;45;,';PASSO FUNDO;',';RS;',;285;,;297;");"
46;,;46;,';CAMPINA GRANDE DO SUL;',';PR;',;116;,;65;");"
47;,;47;,';ARARANGUA;',';SC;',;101;,;418;");"
48;,;48;,';CACHOEIRA DO SUL;',';RS;',;153;,;376,5;");"
49;,;49;,';GARUVA;',';SC;',;101;,;13,2;");"
50;,;50;,';PIRAQUARA;',';PR;',;116;,;82;");"
51;,;51;,';SAO JOSE DOS PINHAIS;',';PR;',;116;,;95;");"
52;,;52;,';FREDERICO WESTPHALEN;',';RS;',;386;,;30,5;");"
53;,;53;,';MANDAGUARI;',';PR;',;376;,;204,4;");"
54;,;54;,';BENTO GONCALVES;',';RS;',;470;,;201,6;");"
55;,;55;,';CURITIBA;',';PR;',;476;,;131,9;");"
56;,;56;,';TURUCU;',';RS;',;116;,;480;");"
57;,;57;,';CONTENDA;',';PR;',;476;,;180;");"
58;,;58;,';CIRIACO;',';RS;',;285;,;247,5;");"
59;,;59;,';DIONISIO CERQUEIRA;',';SC;',;163;,;114,5;");"
60;,;60;,';SENTINELA DO SUL;',';RS;',;116;,;363;");"
61;,;61;,';PRUDENTOPOLIS;',';PR;',;277;,;279,7;");"
62;,;62;,';PAVERAMA;',';RS;',;386;,;373,2;");"
63;,;63;,';SAO JOSE DOS PINHAIS;',';PR;',;277;,;71;");"
64;,;64;,';PRUDENTOPOLIS;',';PR;',;373;,;258;");"
65;,;65;,';PALHOCA;',';SC;',;101;,;219;");"
66;,;66;,';SANTA ROSA;',';RS;',;472;,;174,8;");"
67;,;67;,';CASCAVEL;',';PR;',;277;,;584,7;");"
68;,;68;,';SAO JOSE DOS PINHAIS;',';PR;',;277;,;69;");"
69;,;69;,';PALHOCA;',';SC;',;101;,;213;");"
70;,;70;,';ALEGRETE;',';RS;',;290;,;539;");"
71;,;71;,';UNIAO DA VITORIA;',';PR;',;153;,;460,3;");"
72;,;72;,';MORRETES;',';PR;',;277;,;42;");"
73;,;73;,';LAGUNA;',';SC;',;101;,;307,3;");"
74;,;74;,';SAO CRISTOVAO DO SUL;',';SC;',;470;,;222,9;");"
75;,;75;,';PENHA;',';SC;',;101;,;107,9;");"
76;,;76;,';CAMPO MOURAO;',';PR;',;272;,;368,2;");"
77;,;77;,';ORTIGUEIRA;',';PR;',;376;,;338,9;");"
78;,;78;,';PELOTAS;',';RS;',;116;,;529,7;");"
79;,;79;,';CURITIBA;',';PR;',;116;,;112;");"
