id_Participantes;;id_Acidente;;pessoas;;mortos;;feridos_leves;;feridos_graves;;ilesos;;ignorados;;feridos;;veiculos;;;;;
1;,;1;,;4;,;0;,;0;,;0;,;4;,;0;,;0;,;2;");";;;;
2;,;2;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
3;,;3;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;; 
4;,;4;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;1;");";;;;
5;,;5;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
6;,;6;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
7;,;7;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
8;,;8;,;2;,;0;,;0;,;0;,;1;,;1;,;0;,;2;");";;;;
9;,;9;,;2;,;0;,;0;,;0;,;1;,;1;,;0;,;2;");";;;;
10;,;10;,;4;,;0;,;1;,;0;,;1;,;2;,;1;,;3;");";;;;
11;,;11;,;4;,;0;,;2;,;0;,;1;,;1;,;2;,;1;");";;;;
12;,;12;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
13;,;13;,;3;,;0;,;1;,;0;,;2;,;0;,;1;,;2;");";;;;
14;,;14;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
15;,;15;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
16;,;16;,;3;,;0;,;0;,;0;,;3;,;0;,;0;,;2;");";;;;
17;,;17;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
18;,;18;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
19;,;19;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
20;,;20;,;6;,;0;,;1;,;0;,;5;,;0;,;1;,;5;");";;;;
21;,;21;,;7;,;4;,;2;,;1;,;0;,;0;,;3;,;2;");";;;;
22;,;22;,;4;,;0;,;0;,;0;,;3;,;1;,;0;,;2;");";;;;
23;,;23;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
24;,;24;,;17;,;0;,;0;,;0;,;11;,;6;,;0;,;6;");";;;;
25;,;25;,;2;,;0;,;2;,;0;,;0;,;0;,;2;,;1;");";;;;
26;,;26;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;1;");";;;;
27;,;27;,;6;,;0;,;4;,;0;,;2;,;0;,;4;,;3;");";;;;
28;,;28;,;7;,;0;,;3;,;1;,;2;,;1;,;4;,;3;");";;;;
29;,;29;,;3;,;0;,;0;,;0;,;3;,;0;,;0;,;3;");";;;;
30;,;30;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
31;,;31;,;4;,;0;,;2;,;0;,;2;,;0;,;2;,;2;");";;;;
32;,;32;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
33;,;33;,;5;,;0;,;3;,;0;,;2;,;0;,;3;,;3;");";;;;
34;,;34;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
35;,;35;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;;;
36;,;36;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
37;,;37;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
38;,;38;,;3;,;0;,;1;,;0;,;2;,;0;,;1;,;2;");";;;;
39;,;39;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
40;,;40;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
41;,;41;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
42;,;42;,;3;,;0;,;0;,;0;,;3;,;0;,;0;,;3;");";;;;
43;,;43;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
44;,;44;,;4;,;0;,;1;,;0;,;3;,;0;,;1;,;2;");";;;;
45;,;45;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
46;,;46;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
47;,;47;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
48;,;48;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;;;
49;,;49;,;2;,;0;,;0;,;0;,;1;,;1;,;0;,;2;");";;;;
50;,;50;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
51;,;51;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
52;,;52;,;2;,;1;,;1;,;0;,;0;,;0;,;1;,;2;");";;;;
53;,;53;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
54;,;54;,;3;,;0;,;2;,;0;,;1;,;0;,;2;,;2;");";;;;
55;,;55;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;;;
56;,;56;,;4;,;0;,;0;,;0;,;4;,;0;,;0;,;4;");";;;;
57;,;57;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;;;
58;,;58;,;3;,;0;,;1;,;0;,;2;,;0;,;1;,;2;");";;;;
59;,;59;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
60;,;60;,;3;,;0;,;0;,;1;,;2;,;0;,;1;,;2;");";;;;
61;,;61;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
62;,;62;,;2;,;1;,;0;,;0;,;1;,;0;,;0;,;2;");";;;;
63;,;63;,;3;,;0;,;1;,;1;,;1;,;0;,;2;,;2;");";;;;
64;,;64;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;;;
65;,;65;,;3;,;0;,;0;,;0;,;3;,;0;,;0;,;3;");";;;;
