id_Acidente;;causa_acidente;;tipo_acidente;;classificacao_acidente;;data_inversa;;horario;;dia_semana;
1;,';Falta de Atenção à Condução;',';Tombamento;',';Sem Vítimas;',';02/01/2018;***;08:40:00;',';terça-feira;"');"
2;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',';02/01/2018;***;11:20:00;',';terça-feira;"');"
3;,';Pista Escorregadia;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';02/01/2018;***;15:50:00;',';terça-feira;"');"
4;,';Não guardar distância de segurança;',';Saída de leito carroçável;',';Sem Vítimas;',';02/01/2018;***;16:45:00;',';terça-feira;"');"
5;,';Velocidade Incompatível;',';Colisão traseira;',';Sem Vítimas;',';02/01/2018;***;12:30:00;',';terça-feira;"');"
6;,';Condutor Dormindo;',';Colisão lateral;',';Sem Vítimas;',';03/01/2018;***;03:15:00;',';quarta-feira;"');"
7;,';Defeito na Via;',';Tombamento;',';Com Vítimas Feridas;',';03/01/2018;***;10:30:00;',';quarta-feira;"');"
8;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',';03/01/2018;***;19:00:00;',';quarta-feira;"');"
9;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',';04/01/2018;***;09:40:00;',';quinta-feira;"');"
10;,';Defeito Mecânico no Veículo;',';Incêndio;',';Sem Vítimas;',';04/01/2018;***;14:00:00;',';quinta-feira;"');"
11;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';04/01/2018;***;16:30:00;',';quinta-feira;"');"
12;,';Ingestão de Álcool;',';Colisão frontal;',';Com Vítimas Fatais;',';05/01/2018;***;02:25:00;',';sexta-feira;"');"
13;,';Velocidade Incompatível;',';Colisão frontal;',';Com Vítimas Feridas;',';05/01/2018;***;05:50:00;',';sexta-feira;"');"
14;,';Falta de Atenção à Condução;',';Colisão com objeto em movimento;',';Sem Vítimas;',';05/01/2018;***;14:18:00;',';sexta-feira;"');"
15;,';Carga excessiva e/ou mal acondicionada;',';Derramamento de carga;',';Com Vítimas Feridas;',';05/01/2018;***;15:00:00;',';sexta-feira;"');"
16;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';05/01/2018;***;16:40:00;',';sexta-feira;"');"
17;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Fatais;',';05/01/2018;***;19:25:00;',';sexta-feira;"');"
18;,';Condutor Dormindo;',';Colisão transversal;',';Com Vítimas Feridas;',';06/01/2018;***;04:10:00;',';sábado;"');"
19;,';Ingestão de Álcool;',';Saída de leito carroçável;',';Sem Vítimas;',';06/01/2018;***;12:30:00;',';sábado;"');"
20;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Sem Vítimas;',';07/01/2018;***;18:15:00;',';domingo;"');"
21;,';Ingestão de Álcool;',';Colisão traseira;',';Com Vítimas Feridas;',';08/01/2018;***;00:51:00;',';segunda-feira;"');"
22;,';Mal Súbito;',';Colisão transversal;',';Sem Vítimas;',';08/01/2018;***;10:03:00;',';segunda-feira;"');"
23;,';Carga excessiva e/ou mal acondicionada;',';Saída de leito carroçável;',';Sem Vítimas;',';08/01/2018;***;13:00:00;',';segunda-feira;"');"
24;,';Falta de Atenção à Condução;',';Colisão transversal;',';Sem Vítimas;',';08/01/2018;***;14:00:00;',';segunda-feira;"');"
