id_Condicoes;;id_Acidente;;condicao_metereologica;;sentido_via;;tipo_pista;;tracado_via;;fase_dia;
1;,;1;,';Chuva;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
2;,;2;,';Céu Claro;',';Decrescente;',';Simples;',';Desvio Temporário;',';Pleno dia;"');"
3;,;3;,';Chuva;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
4;,;4;,';Chuva;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
5;,;5;,';Garoa/Chuvisco;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
6;,;6;,';Nevoeiro/Neblina;',';Decrescente;',';Simples;',';Curva;',';Plena Noite;"');"
7;,;7;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
8;,;8;,';Sol;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
9;,;9;,';Sol;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
10;,;10;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
11;,;11;,';Sol;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
12;,;12;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');"
13;,;13;,';Nublado;',';Crescente;',';Simples;',';Curva;',';Amanhecer;"');"
14;,;14;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
15;,;15;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
16;,;16;,';Céu Claro;',';Decrescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');"
17;,;17;,';Céu Claro;',';Decrescente;',';Dupla;',';Rotatória;',';Pleno dia;"');"
18;,;18;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Plena Noite;"');"
19;,;19;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
20;,;20;,';Céu Claro;',';Crescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');"
21;,;21;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');"
22;,;22;,';Sol;',';Crescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');"
23;,;23;,';Céu Claro;',';Crescente;',';Dupla;',';Não Informado;',';Pleno dia;"');"
24;,;24;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
25;,;25;,';Céu Claro;',';Crescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');"
26;,;26;,';Sol;',';Decrescente;',';Simples;',';Não Informado;',';Pleno dia;"');"
27;,;27;,';Sol;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
28;,;28;,';Sol;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
29;,;29;,';Sol;',';Decrescente;',';Dupla;',';Não Informado;',';Pleno dia;"');"
30;,;30;,';Sol;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
31;,;31;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
32;,;32;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Plena Noite;"');"
