id_Local;;id_Acidente;;municipio;;uf;;br;;km;
1;,;1;,';MORMACO;',';RS;',;386;,;224.5;");"
2;,;2;,';NOVA PETROPOLIS;',';RS;',;116;,;183.1;");"
3;,;3;,';SAO LEOPOLDO;',';RS;',;116;,;248;");"
4;,;4;,';CAPAO DO LEAO;',';RS;',;116;,;528.5;");"
5;,;5;,';FORQUETINHA;',';RS;',;386;,;335;");"
6;,;6;,';TRES ARROIOS;',';RS;',;153;,;31.8;");"
7;,;7;,';URUGUAIANA;',';RS;',;290;,;638.6;");"
8;,;8;,';URUGUAIANA;',';RS;',;472;,;561;");"
9;,;9;,';RIO GRANDE;',';RS;',;392;,;16.1;");"
10;,;10;,';PASSO FUNDO;',';RS;',;285;,;297;");"
11;,;11;,';CACHOEIRA DO SUL;',';RS;',;153;,;376.5;");"
12;,;12;,';FREDERICO WESTPHALEN;',';RS;',;386;,;30.5;");"
13;,;13;,';BENTO GONCALVES;',';RS;',;470;,;201.6;");"
14;,;14;,';TURUCU;',';RS;',;116;,;480;");"
15;,;15;,';CIRIACO;',';RS;',;285;,;247.5;");"
16;,;16;,';SENTINELA DO SUL;',';RS;',;116;,;363;");"
17;,;17;,';PAVERAMA;',';RS;',;386;,;373.2;");"
18;,;18;,';SANTA ROSA;',';RS;',;472;,;174.8;");"
19;,;19;,';ALEGRETE;',';RS;',;290;,;539;");"
20;,;20;,';PELOTAS;',';RS;',;116;,;529.7;");"
21;,;21;,';CACHOEIRINHA;',';RS;',;290;,;85;");"
22;,;22;,';VACARIA;',';RS;',;116;,;46.5;");"
23;,;23;,';NOVA SANTA RITA;',';RS;',;386;,;432;");"
24;,;24;,';PAVERAMA;',';RS;',;386;,;378.1;");"
25;,;25;,';ITAQUI;',';RS;',;472;,;481.5;");"
26;,;26;,';ELDORADO DO SUL;',';RS;',;290;,;113.5;");"
27;,;27;,';PASSO FUNDO;',';RS;',;285;,;302.7;");"
28;,;28;,';POUSO NOVO;',';RS;',;386;,;306;");"
29;,;29;,';ENTRE-IJUIS;',';RS;',;285;,;503.9;");"
30;,;30;,';PASSO FUNDO;',';RS;',;285;,;292;");"
31;,;31;,';CAMAQUA;',';RS;',;116;,;400.2;");"
32;,;32;,';ELDORADO DO SUL;',';RS;',;290;,;111.2;");"
33;,;33;,';CAPAO DO LEAO;',';RS;',;116;,;532.1;");"
34;,;34;,';CAPAO DO LEAO;',';RS;',;116;,;529;");"
35;,;35;,';SAO LEOPOLDO;',';RS;',;116;,;249.8;");"
36;,;36;,';VACARIA;',';RS;',;116;,;22.6;");"
37;,;37;,';CACAPAVA DO SUL;',';RS;',;153;,;553.9;");"
38;,;38;,';TUPANCIRETA;',';RS;',;158;,;230.5;");"
39;,;39;,';PALMEIRA DAS MISSOES;',';RS;',;468;,;3.9;");"
40;,;40;,';SAO SEPE;',';RS;',;290;,;337.2;");"
41;,;41;,';TRES CACHOEIRAS;',';RS;',;101;,;35.3;");"
