id_Participantes;;id_Acidente;;pessoas;;mortos;;feridos_leves;;feridos_graves;;ilesos;;ignorados;;feridos;;veiculos;;;
1;,;1;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
2;,;2;,;2;,;0;,;0;,;0;,;1;,;1;,;0;,;2;");";; 
3;,;3;,;4;,;0;,;2;,;0;,;1;,;1;,;2;,;1;");";;
4;,;4;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
5;,;5;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
6;,;6;,;4;,;0;,;0;,;0;,;3;,;1;,;0;,;2;");";;
7;,;7;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;1;");";;
8;,;8;,;5;,;0;,;3;,;0;,;2;,;0;,;3;,;3;");";;
9;,;9;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
10;,;10;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
11;,;11;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;
12;,;12;,;2;,;1;,;1;,;0;,;0;,;0;,;1;,;2;");";;
13;,;13;,;3;,;0;,;2;,;0;,;1;,;0;,;2;,;2;");";;
14;,;14;,;4;,;0;,;0;,;0;,;4;,;0;,;0;,;4;");";;
15;,;15;,;3;,;0;,;1;,;0;,;2;,;0;,;1;,;2;");";;
16;,;16;,;3;,;0;,;0;,;1;,;2;,;0;,;1;,;2;");";;
17;,;17;,;2;,;1;,;0;,;0;,;1;,;0;,;0;,;2;");";;
18;,;18;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
19;,;19;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
20;,;20;,;5;,;0;,;0;,;0;,;5;,;0;,;0;,;2;");";;
21;,;21;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
22;,;22;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
23;,;23;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
24;,;24;,;3;,;0;,;0;,;0;,;3;,;0;,;0;,;2;");";;
25;,;25;,;3;,;0;,;2;,;0;,;1;,;0;,;2;,;1;");";;
26;,;26;,;5;,;0;,;0;,;0;,;5;,;0;,;0;,;2;");";;
27;,;27;,;3;,;0;,;1;,;0;,;2;,;0;,;1;,;2;");";;
28;,;28;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;
29;,;29;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
30;,;30;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
31;,;31;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;
32;,;32;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
33;,;33;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;
34;,;34;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
35;,;35;,;3;,;0;,;1;,;0;,;2;,;0;,;1;,;3;");";;
36;,;36;,;4;,;0;,;0;,;0;,;2;,;2;,;0;,;2;");";;
37;,;37;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
38;,;38;,;3;,;0;,;2;,;1;,;0;,;0;,;3;,;1;");";;
39;,;39;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
40;,;40;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
41;,;41;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;
42;,;42;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;
43;,;43;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;1;");";;
44;,;44;,;4;,;0;,;1;,;1;,;1;,;1;,;2;,;3;");";;
45;,;45;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;
46;,;46;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;
47;,;47;,;4;,;1;,;1;,;0;,;2;,;0;,;1;,;3;");";;
48;,;48;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
49;,;49;,;7;,;3;,;0;,;0;,;4;,;0;,;0;,;3;");";;
50;,;50;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
51;,;51;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;
52;,;52;,;3;,;0;,;2;,;0;,;1;,;0;,;2;,;2;");";;
53;,;53;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
54;,;54;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;
55;,;55;,;5;,;0;,;3;,;1;,;1;,;0;,;4;,;2;");";;
56;,;56;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
57;,;57;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
58;,;58;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
59;,;59;,;8;,;0;,;4;,;1;,;1;,;2;,;5;,;3;");";;
60;,;60;,;2;,;1;,;0;,;0;,;1;,;0;,;0;,;1;");";;
61;,;61;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
62;,;62;,;5;,;0;,;2;,;0;,;3;,;0;,;2;,;4;");";;
63;,;63;,;4;,;0;,;0;,;1;,;2;,;1;,;1;,;4;");";;
64;,;64;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
65;,;65;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;
66;,;66;,;4;,;0;,;3;,;0;,;1;,;0;,;3;,;2;");";;
67;,;67;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
68;,;68;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
69;,;69;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
70;,;70;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;
71;,;71;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
72;,;72;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
73;,;73;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
74;,;74;,;6;,;0;,;1;,;0;,;5;,;0;,;1;,;3;");";;
75;,;75;,;4;,;0;,;0;,;0;,;4;,;0;,;0;,;2;");";;
76;,;76;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
77;,;77;,;2;,;0;,;0;,;0;,;1;,;1;,;0;,;2;");";;
78;,;78;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
79;,;79;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;
80;,;80;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;
81;,;81;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
82;,;82;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
83;,;83;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;1;");";;
84;,;84;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
85;,;85;,;4;,;0;,;0;,;0;,;4;,;0;,;0;,;4;");";;
86;,;86;,;3;,;0;,;1;,;0;,;2;,;0;,;1;,;2;");";;
87;,;87;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
88;,;88;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;
89;,;89;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
90;,;90;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;
91;,;91;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
92;,;92;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
93;,;93;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
94;,;94;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
95;,;95;,;4;,;0;,;0;,;0;,;4;,;0;,;0;,;2;");";;
96;,;96;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
97;,;97;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
98;,;98;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
99;,;99;,;3;,;1;,;0;,;0;,;1;,;1;,;0;,;2;");";;
100;,;100;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
101;,;101;,;4;,;0;,;2;,;0;,;2;,;0;,;2;,;3;");";;
102;,;102;,;6;,;0;,;3;,;1;,;0;,;2;,;4;,;3;");";;
103;,;103;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
104;,;104;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;
105;,;105;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
106;,;106;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
107;,;107;,;6;,;0;,;0;,;0;,;6;,;0;,;0;,;3;");";;
108;,;108;,;3;,;0;,;2;,;0;,;1;,;0;,;2;,;2;");";;
109;,;109;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
110;,;110;,;4;,;0;,;1;,;1;,;2;,;0;,;2;,;2;");";;
111;,;111;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
112;,;112;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
113;,;113;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
114;,;114;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
115;,;115;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
116;,;116;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
117;,;117;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
118;,;118;,;4;,;0;,;1;,;0;,;3;,;0;,;1;,;3;");";;
119;,;119;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
120;,;120;,;5;,;1;,;0;,;2;,;2;,;0;,;2;,;3;");";;
121;,;121;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
122;,;122;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
123;,;123;,;4;,;0;,;0;,;0;,;4;,;0;,;0;,;2;");";;
124;,;124;,;3;,;0;,;1;,;0;,;2;,;0;,;1;,;2;");";;
125;,;125;,;2;,;0;,;2;,;0;,;0;,;0;,;2;,;1;");";;
126;,;126;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
127;,;127;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;
128;,;128;,;2;,;0;,;0;,;2;,;0;,;0;,;2;,;2;");";;
129;,;129;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;1;");";;
130;,;130;,;4;,;0;,;2;,;0;,;2;,;0;,;2;,;2;");";;
131;,;131;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
132;,;132;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
133;,;133;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;1;");";;
134;,;134;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
135;,;135;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
136;,;136;,;3;,;0;,;2;,;0;,;1;,;0;,;2;,;2;");";;
137;,;137;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;
138;,;138;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;1;");";;
139;,;139;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
140;,;140;,;5;,;0;,;1;,;0;,;4;,;0;,;1;,;2;");";;
141;,;141;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
142;,;142;,;4;,;0;,;0;,;0;,;4;,;0;,;0;,;2;");";;
143;,;143;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
144;,;144;,;4;,;0;,;1;,;0;,;3;,;0;,;1;,;2;");";;
145;,;145;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
146;,;146;,;3;,;0;,;1;,;0;,;2;,;0;,;1;,;2;");";;
147;,;147;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
148;,;148;,;3;,;0;,;0;,;0;,;3;,;0;,;0;,;3;");";;
149;,;149;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;1;");";;
150;,;150;,;1;,;0;,;0;,;1;,;0;,;0;,;1;,;1;");";;
151;,;151;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
152;,;152;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
153;,;153;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
154;,;154;,;3;,;0;,;2;,;0;,;1;,;0;,;2;,;2;");";;
155;,;155;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
156;,;156;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;1;");";;
157;,;157;,;6;,;1;,;1;,;2;,;2;,;0;,;3;,;4;");";;
