idLocal;;idAcidente;;municipio;
1;,;1;,';Agudo;"');"
2;,;2;,';Ajuricaba;"');"
3;,;3;,';Alegrete;"');"
4;,;4;,';Alegria;"');"
5;,;5;,';Almirante Tamandaré do Sul;"');"
6;,;6;,';Alto Alegre;"');"
7;,;7;,';Alvorada;"');"
8;,;8;,';Amaral Ferrador;"');"
9;,;9;,';Anta Gorda;"');"
10;,;10;,';Antônio Prado;"');"
11;,;11;,';Araricá;"');"
12;,;12;,';Aratiba;"');"
13;,;13;,';Arroio do Meio;"');"
14;,;14;,';Arroio do Padre;"');"
15;,;15;,';Arroio do Sal;"');"
16;,;16;,';Arroio do Tigre;"');"
17;,;17;,';Arroio dos Ratos;"');"
18;,;18;,';Arroio Grande;"');"
19;,;19;,';Arvorezinha;"');"
20;,;20;,';Áurea;"');"
21;,;21;,';Bagé;"');"
22;,;22;,';Balneário Pinhal;"');"
23;,;23;,';Barão;"');"
24;,;24;,';Barão de Cotegipe;"');"
25;,;25;,';Barra do Guarita;"');"
26;,;26;,';Barra do Ribeiro;"');"
27;,;27;,';Barra Funda;"');"
28;,;28;,';Barracão;"');"
29;,;29;,';Barros Cassal;"');"
30;,;30;,';Bento Gonçalves;"');"
31;,;31;,';Boa Vista das Missões;"');"
32;,;32;,';Boa Vista do Buricá;"');"
33;,;33;,';Bom Jesus;"');"
34;,;34;,';Bom Princípio;"');"
35;,;35;,';Bom Progresso;"');"
36;,;36;,';Bom Retiro do Sul;"');"
37;,;37;,';Boqueirão do Leão;"');"
38;,;38;,';Bossoroca;"');"
39;,;39;,';Brochier;"');"
40;,;40;,';Butiá;"');"
41;,;41;,';Caçapava do Sul;"');"
42;,;42;,';Cacequi;"');"
43;,;43;,';Cachoeira do Sul;"');"
44;,;44;,';Cachoeirinha;"');"
45;,;45;,';Cacique Doble;"');"
46;,;46;,';Caibaté;"');"
47;,;47;,';Camaquã;"');"
48;,;48;,';Camargo;"');"
49;,;49;,';Campestre da Serra;"');"
50;,;50;,';Campo Bom;"');"
51;,;51;,';Campos Borges;"');"
52;,;52;,';Candelária;"');"
53;,;53;,';Cândido Godói;"');"
54;,;54;,';Candiota;"');"
55;,;55;,';Canela;"');"
56;,;56;,';Canguçu;"');"
57;,;57;,';Canoas;"');"
58;,;58;,';Capão Bonito do Sul;"');"
59;,;59;,';Capão da Canoa;"');"
60;,;60;,';Capão do Leão;"');"
61;,;61;,';Capela de Santana;"');"
62;,;62;,';Capivari do Sul;"');"
63;,;63;,';Carazinho;"');"
64;,;64;,';Carlos Barbosa;"');"
65;,;65;,';Casca;"');"
66;,;66;,';Caseiros;"');"
67;,;67;,';Catuípe;"');"
68;,;68;,';Caxias do Sul;"');"
69;,;69;,';Cerrito;"');"
70;,;70;,';Cerro Branco;"');"
71;,;71;,';Cerro Grande;"');"
72;,;72;,';Cerro Grande do Sul;"');"
73;,;73;,';Chapada;"');"
74;,;74;,';Charqueadas;"');"
75;,;75;,';Cidreira;"');"
76;,;76;,';Ciríaco;"');"
77;,;77;,';Coronel Bicaco;"');"
78;,;78;,';Coxilha;"');"
79;,;79;,';Cristal;"');"
80;,;80;,';Cristal do Sul;"');"
81;,;81;,';Cruz Alta;"');"
82;,;82;,';Cruzaltense;"');"
83;,;83;,';Cruzeiro do Sul;"');"
84;,;84;,';David Canabarro;"');"
85;,;85;,';Dezesseis de Novembro;"');"
86;,;86;,';Dois Irmãos;"');"
87;,;87;,';Dois Lajeados;"');"
88;,;88;,';Dom Feliciano;"');"
89;,;89;,';Dom Pedrito;"');"
90;,;90;,';Doutor Maurício Cardoso;"');"
91;,;91;,';Doutor Ricardo;"');"
92;,;92;,';Eldorado do Sul;"');"
93;,;93;,';Encantado;"');"
94;,;94;,';Encruzilhada do Sul;"');"
95;,;95;,';Entre-Ijuís;"');"
96;,;96;,';Erechim;"');"
97;,;97;,';Ernestina;"');"
98;,;98;,';Erval Grande;"');"
99;,;99;,';Esmeralda;"');"
100;,;100;,';Espumoso;"');"
101;,;101;,';Estação;"');"
102;,;102;,';Estância Velha;"');"
103;,;103;,';Esteio;"');"
104;,;104;,';Estrela;"');"
105;,;105;,';Estrela Velha;"');"
106;,;106;,';Eugênio de Castro;"');"
107;,;107;,';Farroupilha;"');"
108;,;108;,';Faxinal do Soturno;"');"
109;,;109;,';Fazenda Vilanova;"');"
110;,;110;,';Feliz;"');"
111;,;111;,';Flores da Cunha;"');"
112;,;112;,';Fontoura Xavier;"');"
113;,;113;,';Formigueiro;"');"
114;,;114;,';Fortaleza dos Valos;"');"
115;,;115;,';Frederico Westphalen;"');"
116;,;116;,';Garibaldi;"');"
117;,;117;,';Gaurama;"');"
118;,;118;,';General Câmara;"');"
119;,;119;,';Gentil;"');"
120;,;120;,';Getúlio Vargas;"');"
121;,;121;,';Giruá;"');"
122;,;122;,';Glorinha;"');"
123;,;123;,';Gramado;"');"
124;,;124;,';Gramado dos Loureiros;"');"
125;,;125;,';Gramado Xavier;"');"
126;,;126;,';Gravataí;"');"
127;,;127;,';Guaíba;"');"
128;,;128;,';Guaporé;"');"
129;,;129;,';Guarani das Missões;"');"
130;,;130;,';Harmonia;"');"
131;,;131;,';Herval;"');"
132;,;132;,';Herveiras;"');"
133;,;133;,';Horizontina;"');"
134;,;134;,';Hulha Negra;"');"
135;,;135;,';Ibiaçá;"');"
136;,;136;,';Ibiraiaras;"');"
137;,;137;,';Ibirubá;"');"
138;,;138;,';Igrejinha;"');"
139;,;139;,';Ijuí;"');"
140;,;140;,';Imigrante;"');"
141;,;141;,';Independência;"');"
142;,;142;,';Ipê;"');"
143;,;143;,';Ipiranga do Sul;"');"
144;,;144;,';Iraí;"');"
145;,;145;,';Itaara;"');"
146;,;146;,';Itaqui;"');"
147;,;147;,';Itati;"');"
148;,;148;,';Ivoti;"');"
149;,;149;,';Jaboticaba;"');"
150;,;150;,';Jaguarão;"');"
151;,;151;,';Jaguari;"');"
152;,;152;,';Júlio de Castilhos;"');"
153;,;153;,';Lagoa dos Três Cantos;"');"
154;,;154;,';LAGOA VERMELHO;"');"
155;,;155;,';Lajeado;"');"
156;,;156;,';Lavras do Sul;"');"
157;,;157;,';Liberato Salzano;"');"
158;,;158;,';Lindolfo Collor;"');"
159;,;159;,';Maçambará;"');"
160;,;160;,';Maquiné;"');"
161;,;161;,';Marau;"');"
162;,;162;,';Mariana Pimentel;"');"
163;,;163;,';Marques de Souza;"');"
164;,;164;,';Mata;"');"
165;,;165;,';Mato Castelhano;"');"
166;,;166;,';Maximiliano de Almeida;"');"
167;,;167;,';Miraguaí;"');"
168;,;168;,';Monte Alegre dos Campos;"');"
169;,;169;,';Montenegro;"');"
170;,;170;,';Morro Redondo;"');"
171;,;171;,';Morro Reuter;"');"
172;,;172;,';Muçum;"');"
173;,;173;,';Muitos Capões;"');"
174;,;174;,';Não-Me-Toque;"');"
175;,;175;,';Nicolau Vergueiro;"');"
176;,;176;,';Nonoai;"');"
177;,;177;,';Nova Araçá;"');"
178;,;178;,';Nova Petrópolis;"');"
179;,;179;,';Nova Prata;"');"
180;,;180;,';Nova Santa Rita;"');"
181;,;181;,';Novo Barreiro;"');"
182;,;182;,';Novo Cabrais;"');"
183;,;183;,';Novo Hamburgo;"');"
184;,;184;,';Osório;"');"
185;,;185;,';Palmares do Sul;"');"
186;,;186;,';Palmeira das Missões;"');"
187;,;187;,';Palmitinho;"');"
188;,;188;,';Panambi;"');"
189;,;189;,';Pantano Grande;"');"
190;,;190;,';Paraíso do Sul;"');"
191;,;191;,';Parobé;"');"
192;,;192;,';Passa Sete;"');"
193;,;193;,';Passo Fundo;"');"
194;,;194;,';Paverama;"');"
195;,;195;,';Pelotas;"');"
196;,;196;,';Pinhal;"');"
197;,;197;,';Pinheiro Machado;"');"
198;,;198;,';Pinto Bandeira;"');"
199;,;199;,';Piratini;"');"
200;,;200;,';Planalto;"');"
201;,;201;,';Pontão;"');"
202;,;202;,';Portão;"');"
203;,;203;,';Porto Alegre;"');"
204;,;204;,';Porto Xavier;"');"
205;,;205;,';Pouso Novo;"');"
206;,;206;,';Quaraí;"');"
207;,;207;,';Quevedos;"');"
208;,;208;,';Redentora;"');"
209;,;209;,';Restinga Seca;"');"
210;,;210;,';Rio Grande;"');"
211;,;211;,';Rio Pardo;"');"
212;,;212;,';Roca Sales;"');"
213;,;213;,';Rolante;"');"
214;,;214;,';Ronda Alta;"');"
215;,;215;,';Rondinha;"');"
216;,;216;,';Roque Gonzales;"');"
217;,;217;,';Rosário do Sul;"');"
218;,;218;,';Saldanha Marinho;"');"
