idPart;;idAcidente;;Carona Moto;;Carroceiro;;Ciclista;;Condutor;;Motociclista;;Não Inf.;;Outros;;Passageiro;;Pedestre;
1;,;1;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;1;,;0;");"
2;,;2;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
3;,;3;,;0;,;0;,;1;,;2;,;0;,;0;,;0;,;2;,;3;");"
4;,;4;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
5;,;5;,;0;,;0;,;0;,;2;,;0;,;0;,;0;,;1;,;0;");"
6;,;6;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;1;,;0;");"
7;,;7;,;0;,;0;,;0;,;2;,;4;,;1;,;0;,;0;,;4;");"
8;,;8;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;1;");"
9;,;9;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;1;");"
10;,;10;,;1;,;0;,;0;,;3;,;2;,;0;,;0;,;1;,;0;");"
11;,;11;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
12;,;12;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
13;,;13;,;0;,;0;,;0;,;3;,;1;,;0;,;0;,;0;,;0;");"
14;,;14;,;0;,;0;,;0;,;0;,;2;,;0;,;0;,;1;,;0;");"
15;,;15;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;,;0;");"
16;,;16;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;1;,;0;");"
17;,;17;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;1;");"
18;,;18;,;0;,;0;,;1;,;1;,;1;,;0;,;0;,;1;,;0;");"
19;,;19;,;0;,;0;,;0;,;2;,;0;,;0;,;0;,;1;,;1;");"
20;,;20;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
21;,;21;,;0;,;0;,;1;,;1;,;4;,;0;,;0;,;0;,;3;");"
22;,;22;,;0;,;0;,;0;,;0;,;2;,;0;,;0;,;0;,;0;");"
23;,;23;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
24;,;24;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;,;0;");"
25;,;25;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
26;,;26;,;0;,;0;,;0;,;2;,;0;,;0;,;0;,;1;,;2;");"
