idTipo;;idAcidente;;atropelamento;;capotagem;;choqueObjFixo;;colisao;;colisaoLat;;naoInf;;outro;;tombamento;
1;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;1;");"
2;,;2;,;0;,;1;,;0;,;0;,;0;,;0;,;0;,;0;");"
3;,;3;,;3;,;0;,;1;,;3;,;0;,;0;,;0;,;0;");"
4;,;4;,;1;,;0;,;0;,;0;,;0;,;0;,;0;,;0;");"
5;,;5;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
6;,;6;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
7;,;7;,;4;,;0;,;0;,;2;,;2;,;2;,;0;,;1;");"
8;,;8;,;1;,;0;,;0;,;0;,;0;,;0;,;1;,;0;");"
9;,;9;,;1;,;1;,;0;,;0;,;0;,;0;,;0;,;0;");"
10;,;10;,;0;,;1;,;0;,;3;,;0;,;0;,;0;,;2;");"
11;,;11;,;1;,;0;,;0;,;0;,;0;,;0;,;0;,;0;");"
12;,;12;,;1;,;0;,;0;,;0;,;0;,;0;,;0;,;0;");"
13;,;13;,;0;,;0;,;1;,;2;,;1;,;0;,;0;,;0;");"
14;,;14;,;0;,;1;,;0;,;1;,;0;,;0;,;0;,;1;");"
15;,;15;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
16;,;16;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;1;");"
17;,;17;,;1;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
18;,;18;,;0;,;0;,;1;,;0;,;1;,;0;,;1;,;0;");"
19;,;19;,;1;,;1;,;0;,;1;,;0;,;0;,;0;,;1;");"
20;,;20;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
21;,;21;,;2;,;0;,;0;,;3;,;1;,;0;,;0;,;2;");"
22;,;22;,;0;,;0;,;0;,;2;,;0;,;0;,;0;,;0;");"
23;,;23;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
24;,;24;,;0;,;1;,;0;,;0;,;0;,;0;,;0;,;0;");"
25;,;25;,;1;,;0;,;0;,;0;,;0;,;0;,;0;,;0;");"
26;,;26;,;1;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
27;,;27;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
28;,;28;,;1;,;0;,;0;,;1;,;0;,;0;,;0;,;1;");"
29;,;29;,;0;,;1;,;0;,;2;,;0;,;0;,;0;,;0;");"
30;,;30;,;1;,;2;,;1;,;3;,;0;,;0;,;0;,;1;");"
31;,;31;,;0;,;2;,;0;,;3;,;0;,;0;,;0;,;0;");"
32;,;32;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;1;");"
33;,;33;,;0;,;0;,;2;,;1;,;0;,;0;,;0;,;1;");"
34;,;34;,;2;,;0;,;0;,;2;,;0;,;1;,;0;,;1;");"
35;,;35;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");"
36;,;36;,;0;,;0;,;1;,;1;,;0;,;0;,;0;,;1;");"
37;,;37;,;0;,;1;,;0;,;0;,;0;,;0;,;0;,;0;");"
38;,;38;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;");"
39;,;39;,;0;,;1;,;1;,;0;,;0;,;0;,;0;,;1;");"
40;,;40;,;1;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
41;,;41;,;0;,;0;,;0;,;6;,;2;,;0;,;0;,;0;");"
42;,;42;,;0;,;0;,;0;,;2;,;0;,;0;,;0;,;0;");"
43;,;43;,;2;,;0;,;1;,;6;,;1;,;0;,;0;,;2;");"
44;,;44;,;2;,;0;,;0;,;3;,;1;,;0;,;0;,;0;");"
45;,;45;,;1;,;0;,;0;,;2;,;0;,;0;,;0;,;0;");"
46;,;46;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
47;,;47;,;1;,;0;,;0;,;3;,;3;,;0;,;1;,;1;");"
48;,;48;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
49;,;49;,;0;,;0;,;0;,;3;,;0;,;0;,;0;,;0;");"
50;,;50;,;0;,;0;,;0;,;5;,;3;,;0;,;0;,;0;");"
51;,;51;,;0;,;0;,;1;,;1;,;0;,;0;,;0;,;0;");"
52;,;52;,;2;,;1;,;0;,;6;,;1;,;0;,;0;,;1;");"
53;,;53;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
54;,;54;,;0;,;3;,;1;,;0;,;0;,;0;,;0;,;1;");"
55;,;55;,;1;,;0;,;0;,;2;,;0;,;0;,;0;,;1;");"
